test_number,num,cap,refill,K,num_neg,num_pos,sum_neg,sum_pos,total_fun,running_time
276,60000,600,560,100000,29951,30047,448546176,451426128,1879701290,1104
277,60000,600,560,100000,30165,29825,454978695,444780225,1541252787,1101
278,60000,600,560,100000,30118,29877,453562021,446332503,1589624894,1112
279,60000,600,560,100000,29946,30049,448396431,451486225,-2098498734,1106
280,60000,600,580,100000,29932,30062,447977278,451876953,-1015431685,1109
281,60000,600,580,100000,29959,30036,448785820,451095666,-1272700923,1108
282,60000,600,580,100000,29821,30174,444660931,455250225,-846797485,1110
283,60000,600,580,100000,30155,29841,454677090,445257561,-2020585832,1101
284,60000,600,580,100000,30222,29767,456699753,443052028,-1761461025,1099
285,60000,600,580,100000,29952,30044,448576128,451335990,-1466905479,1102
286,60000,600,580,100000,29929,30066,447887485,451997211,-1397664778,1114
287,60000,600,580,100000,30072,29923,452177628,447707926,-1985531160,1104
288,60000,600,580,100000,30010,29981,450315055,449445171,-1078899488,1106
289,60000,600,580,100000,30067,29929,452027278,447887485,-1498908676,1110
290,60000,600,600,100000,29926,30068,447797701,452057346,-50840557,984
291,60000,600,600,100000,30099,29892,452989950,446780778,-414206727,964
292,60000,600,600,100000,30084,29909,452538570,447289095,-1048592579,964
293,60000,600,600,100000,29871,30124,446153256,453742750,-366982570,964
294,60000,600,600,100000,29952,30043,448576128,451305946,-439219187,967
295,60000,600,600,100000,29992,29996,449775028,449895006,-598119663,1041
296,60000,600,600,100000,29962,30035,448875703,451065630,-482080479,972
297,60000,600,600,100000,29978,30014,449355231,450435105,212475209,962
298,60000,600,600,100000,29882,30109,446481903,453290995,16647067,970
299,60000,600,600,100000,29844,30151,445347090,454556476,36399002,1018
300,60000,600,620,100000,30211,29783,456367366,443528436,-881315121,968
301,60000,600,620,100000,29886,30110,446601441,453321105,-293106655,1043
302,60000,600,620,100000,29846,30150,445406781,454526325,-365174010,964
303,60000,600,620,100000,29990,30007,449715045,450225028,-528701094,963
304,60000,600,620,100000,29792,30203,443796528,456125706,590287047,971
305,60000,600,620,100000,29845,30152,445376935,454586628,121474181,966
306,60000,600,620,100000,29851,30141,445556026,454255011,442136846,965
307,60000,600,620,100000,30149,29846,454496175,445406781,-680185747,1040
308,60000,600,620,100000,30134,29863,454044045,445914316,-698252007,989
309,60000,600,620,100000,30061,29932,451846891,447977278,-212781011,964
310,60000,600,640,100000,29853,30136,445615731,454104316,281245181,965
311,60000,600,640,100000,30086,29908,452598741,447259186,-1009131191,966
312,60000,600,640,100000,30121,29876,453652381,446302626,-1032161323,968
313,60000,600,640,100000,29751,30244,442575876,457364890,924643567,966
314,60000,600,640,100000,30015,29980,450465120,449415190,74413122,966
315,60000,600,640,100000,30165,29829,454978695,444899535,-364472129,962
316,60000,600,640,100000,30059,29933,451786770,448007211,-686829630,964
317,60000,600,640,100000,30139,29856,454194730,445705296,-1204442891,1046
318,60000,600,640,100000,30076,29916,452297926,447498486,343587,960
319,60000,600,640,100000,29875,30115,446272750,453471670,68113033,967
320,60000,600,660,100000,30074,29920,452237775,447618160,-168630048,985
321,60000,600,660,100000,30042,29952,451275903,448576128,-481831692,966
322,60000,600,660,100000,30160,29834,454827880,445048695,-604726305,1045
323,60000,600,660,100000,30014,29979,450435105,449385210,-110518644,966
324,60000,600,660,100000,30237,29759,457153203,442813920,-1478944167,962
325,60000,600,660,100000,29968,30027,449055496,450825378,-558495845,963
326,60000,600,660,100000,29842,30151,445287403,454556476,91352349,974
327,60000,600,660,100000,30323,29670,459757326,440169285,-1298788580,965
328,60000,600,660,100000,30117,29877,453531903,446332503,-1061379948,966
329,60000,600,660,100000,29833,30159,445018861,454797720,98407155,972
330,60000,600,680,100000,29763,30231,442932966,456971796,332419469,968
331,60000,600,680,100000,30173,29821,455220051,444660931,-1279691770,965
332,60000,600,680,100000,29842,30152,445287403,454586628,-172968604,963
333,60000,600,680,100000,29901,30091,447049851,452749186,-389736414,965
334,60000,600,680,100000,29793,30198,443826321,455974701,518622090,965
335,60000,600,680,100000,29885,30110,446571555,453321105,273940107,986
336,60000,600,680,100000,30238,29758,457183441,442784161,-1427137730,961
